"NG","NPA","TNIN","TLLOC","TNLA","TNLS","scores_ANN"
13,1,1,401,1,0,7.4
0,0,0,84,0,0,4.5
0,0,0,77,0,0,5
3,0,0,609,0,0,6.8
41,1,0,1280,2,0,8.7
0,5,0,571,0,0,6.4
29,28,3,451,3.5,0,8.4
0,0,0,869,0,0,6.6
0,0,0,615,0,0,6.9
12,5,0,710,2,0,7.9
0,2,0,1050,1,0,7.7
1,0,0,434,0,0,6.4
0,0,0,28,0,0,5.6
0,0,0,25,1,0,6.1
1,1,0,2893,2,0,5.8
10,0,0,330,1.5,0,7.1
23,23,1,2378,3.5,0,9.1
49,7,0,1569,8.5,0,8.4
4,21,1,4693,4,0,8.7
0,0,1,62,5,3,5.9
4,1,1,442,2,0,8.4
2,5,9,2606,0,0,6.7
1,0,0,390,4,0,8.1
0,1,2,668,1.5,0,7.9
15,6,0,582,7,0.5,9
5,0,1,199,19,12,7.9
4,0,0,336,2,0,6.7
0,0,0,55,8,0,4.5
39,0,2,2120,1.5,0,8.1
13,16,0,2728,2,1,9.3
19,0,2,1073,1,0,7.8
3,0,0,65,1,0,6
27,1,0,496,5.5,0,7.6
32,29,0,2211,4,0,9.2
127,10,4,1605,2.5,1,9.5
47,7,1,7851,1.5,0,8.5
3,4,0,597,2.5,0,8.5
18,0,0,398,7,0,7.4
6,1,2,742,2,0,6.2
156,73,76,21379,2,0,9.6
6,15,0,596,11,0,7.8
308,18,7,6002,3,0,10.1
3,1,1,1068,1.5,0,7
0,3,0,430,4,0,6.7
7,17,0,373,5,0,8.7
0,0,0,48,1,0,5.9
0,0,0,123,11,2,6
0,0,0,6,0,0,4.4
1,0,1,70,3,1,5.7
0,4,8,14110,12,5,7.4
1,20,0,186,21,1,6.9
15,5,2,4997,0,0,9.2
2,7,7,565,0,0,10.8
9,0,0,170,1,0,9.8
66,12,17,2252,4.5,1,10.1
13,54,1,1109,3,0,9.2
26,2,0,2756,2,1,10
34,7,16,4937,2,0,8.8
17,0,1,187,4,3,8.1
0,2,1,302,2,0,10.3
2,0,1,314,1.5,0,9.1
29,0,1,459,0,0,7.8
44,0,1,1402,2,0,8.9
45,29,4,4446,2,1,10.2
0,0,0,96,1,0,7.2
4,3,0,427,1.5,0,9.9
0,0,0,166,3,0,4.7
22,24,9,537,3.5,1,10.6
26,25,6,1609,2,0,9.2
3,11,2,1291,2,0,7.5
14,13,0,2631,2,0,10.9
8,22,0,1041,4,0,9.2
30,1,2,707,3,1.5,8
9,0,0,399,2,0,9
8,1,1,190,8,0,6.1
3,3,1,241,1,0,7.9
10,11,0,3164,1,0,8.8
2,252,0,2402,0,0,8.2
21,0,1,393,3,0,7.6
20,19,0,1423,14,0,9.3
0,0,0,140,0,0,5.1
0,0,0,50,0,0,5.3
1,0,0,15,2,1,5.1
24,13,1,2384,7,0,9.6
107,0,2,856,2,0,8.7
0,33,0,629,7.5,0,7.7
2,0,1,899,1,0,5.3
6,7,1,122,3,0,6.3
1,0,0,174,2,0,5.9
5,1,0,102,9,5,6.6
0,0,0,12,0,0,4.7
9,66,0,1294,4,0,9.9
3,3,0,177,3,0,5.7
