"TCD","DLOC","TCLOC","scores_ANN"
0.1,12,12,4.5
0.1,17,39,3.1
0,1,1,0.8
0.1,3,3,1.5
0.3,26,30,1.5
0.2,0,3,2.1
0.2,45,95,5.4
0.3,9,10,0.4
0.4,199,208,4.1
0.1,8,30,4.7
0.2,0,23,4.6
0.1,0,7,4.6
0.1,6,9,1.4
0.1,6,6,2.6
0.2,9,9,2.1
0.3,34,50,0.6
0.1,3,6,5.8
0.6,9,9,4
0.1,4,5,3.5
0,0,3,4.8
0,0,1,1.6
0.5,9,20,4.2
0.2,33,130,5.7
0.1,8,11,2.7
0,1,2,4
0.1,3,3,3.2
0,0,3,3.3
0.1,1,1,1.4
0.2,5,6,0.3
0.1,0,12,4.3
0.7,150,150,2.5
0.7,71,76,2.6
0.1,3,31,1.7
0.6,96,96,5.4
0.2,100,155,6.4
0.3,40,44,3.6
0,0,2,4.9
0.1,48,83,5
0.4,209,225,4
0.1,0,6,4.6
0.1,2,2,3.3
0,5,5,4.1
0,2,2,5.1
0,1,1,4.7
0.1,59,64,5.2
0.1,10,13,5.1
0.4,7,19,3.5
0.1,2,2,4.6
0.5,8,10,2.9
0.2,11,12,2.1
0.3,2,2,4.2
0,0,2,4.1
0.1,3,3,1.3
0.1,5,20,1.5
0,0,1,2.5
0.7,16,16,1.6
0.4,4,4,2
0,3,6,1.6
0.4,102,106,2.8
0.4,29,83,3.4
0.2,3,3,2.4
0.1,3,3,1.2
0.6,11,11,3.2
0,0,3,4.2
0.6,38,38,6.1
0.5,55,55,8.8
0.4,248,255,6.3
0.1,5,5,3
0.1,3,10,3.2
0.4,205,217,4
0.5,13,13,2.6
0.1,5,15,1.9
0.1,3,12,1.5
0,7,7,3.7
0.1,0,24,4.7
0.1,3,4,5.6
0.1,5,6,2.7
0.2,14,14,3.4
0.1,4,4,3.3
0.2,7,7,4.1
0.1,3,5,3.1
0.1,3,4,2.1
0.1,4,7,1.2
0,0,1,2.9
0.3,35,49,2.5
0.2,5,5,2.4
0.3,37,57,4.3
0.1,7,16,3.1
0.1,3,5,3
0.2,92,228,1.6
0.4,248,254,4.2
0.1,0,2,4
0.1,0,4,4.1
0.1,0,4,4.2
0.3,4,5,5.6
0.1,4,5,4.7
0.6,73,73,5.7
0,0,2,5.3
0.1,6,6,3
0.2,37,48,5.4
0.2,20,23,5.4
0.2,7,7,1.2
0.2,4,6,1.2
0.1,3,3,2
0.3,24,24,2.4
0.3,6,6,3
0.1,0,2,4.4
