"McCC","WMC","NL","scores_ANN"
1.5,0,0,1.8
1.5,2,1,2.6
1.5,4,1,7.4
1,9,0,3
1.4,16,1,3.3
1.3,4,1,1.2
3,30,4,4.4
2,41,3,3.9
2.4,45,8,5.4
1.5,3,1,4.2
1,6,0,3.1
1,8,0,5.5
1.7,12,1,3.3
1.7,0,0,2
1,0,0,2
1.9,8,4,3.5
1.9,10,1,3.8
1.9,8,1,3.4
1.7,24,2,3.6
1.2,1,0,2.8
1.2,1,0,1.3
1.2,9,1,2
2.6,58,3,4.1
1.8,1,0,1.7
1.8,6,2,1.4
2.3,14,2,1
2.3,28,3,4.5
2.3,6,1,4.2
1,2,0,2.4
1.1,23,1,4.1
1.1,0,0,0.6
1.2,6,1,4.1
1.2,16,1,7.6
1.2,3,0,3.2
1.2,6,2,2.8
1.2,6,0,5.4
1.2,6,0,4.2
1.2,57,2,5.8
5.7,51,4,4.6
2.5,28,3,2.1
2.5,5,2,2.4
1,1,0,2.3
1,4,0,4.6
3,3,2,1.2
2.3,7,2,2.5
3.5,3,2,2.6
3.5,4,2,2.7
5.6,28,3,3.3
5,5,3,2
1.5,23,2,3.7
1.7,5,1,4.5
4,8,3,3.9
2,2,1,2.7
2.6,18,4,3.8
3,47,4,3.7
3,1,0,1.9
1.5,6,1,2
1.6,8,1,2.1
1.7,15,2,2.8
3.9,47,7,3.9
3.9,1,0,4.1
1.8,31,1,6.4
4.5,18,4,3.8
1.7,12,2,4.3
5.9,284,3,5
3.6,36,4,4
1.3,3,1,1.4
1,6,0,3.9
1.5,3,1,1.4
1,5,0,3.7
1.5,3,0,1.4
4,8,3,2.3
1.4,10,1,3.8
1.4,7,2,1.7
1.3,3,0,1.7
1.3,1,0,1.9
4,16,2,1.9
1.2,5,1,3.9
1.8,7,1,2
2,10,2,3.5
1.1,193,2,6.6
1.1,4,1,2.1
1.6,2,0,2.3
1.6,9,3,2.1
1.3,8,1,5.3
1.3,14,2,4.7
1.3,7,0,5
1,1,0,3.5
2,6,2,1.9
1,6,0,3.3
1.1,0,0,0.9
1.1,1,0,1.8
1.1,8,0,2.1
2.8,17,2,2
2,24,2,4.1
2,43,2,3.6
2,0,0,0.1
1,7,1,3.4
1.1,1,0,3.9
1.1,20,1,3.4
1.1,0,0,1.8
1.1,4,0,6.1
1.1,1,0,4.1
1.3,4,0,4
1,5,0,5
1.2,5,1,1.2
1.8,6,2,3.7
1.7,5,2,1.7
1,3,0,3.7
2.7,8,2,1.9
3,11,3,1.7
1.3,6,1,3
2.2,24,6,3.8
1,5,0,2.4
1.9,27,3,3.6
1.5,3,1,1.3
1,0,0,5.1
1.7,20,2,6.7
1.9,3,0,3.7
2,6,2,1.4
1,4,0,1.2
1.3,9,2,4.5
1.2,5,0,1.2
2,3,0,1.9
1.2,10,0,2.1
1.4,11,1,2.1
1,171,1,7.8
2.8,14,2,2
1.5,11,0,3.1
1.5,27,3,3.6
5.2,31,3,1.5
2.3,7,2,1.7
1,7,0,3.4
1.3,4,1,1.7
1,3,0,5
1,24,0,5.1
1,3,0,0.5
1.5,3,1,3.8
2,6,2,1.7
1,4,0,3.3
2.4,13,2,6.3
2.4,8,6,4.6
2.4,9,2,2.5
2.4,3,0,4.5
2.4,12,2,6
1.4,4,0,3.5
1,10,0,3.8
3.9,27,5,1.3
2,7,1,3.5
2,1,0,0.2
1,0,0,5.5
1.4,7,1,3.3
1.5,12,1,1.9
1.8,23,3,4
1.3,5,1,0.4
1.3,3,0,2.6
2.1,43,5,3.5
1,25,1,5
1.5,30,2,4.3
1.5,4,0,1.2
1.3,4,1,1.4
1.2,7,0,3.2
2.5,86,10,5.2
2,16,1,1.7
2,6,0,2.7
1.2,69,2,4
1.3,7,1,4.9
1.3,0,0,3.2
1.3,5,1,3.2
2,1,0,0.7
2,5,2,1.8
4,4,2,1.4
2.3,7,2,1.4
2.1,2,0,1.7
2.1,27,3,2.9
1.7,4,2,2
1.7,1,0,2.7
