"NUMPAR","TNG","TNA","NPA","TLLOC","TNLS","scores_ANN"
0,1,0,0,41,0,3.4
2,0,56,0,718,0,4.1
1,0,5,0,110,0,3.5
3,3,1,0,9,0,2.8
16,1,4,1,153,2,4.3
4,0,0,0,10,0,4.1
4,0,0,0,13,0,1.8
3,0,0,0,6,0,2.6
3,0,0,0,11,0,3
3,0,1,0,22,0,2.1
0,1,0,0,77,0,4
3,0,0,0,10,0,2.3
6,5,9,0,266,3,1.3
6,0,3,0,208,0,4.1
1,0,0,0,8,0,0.7
21,0,0,0,6,0,2.7
21,5,19,0,31,0,5.3
27,0,3,0,5,0,4.2
27,0,5,0,117,0,4.3
0,0,2,0,43,0,2.2
21,0,0,0,10,0,1.4
21,6,17,3,154,0,4.7
5,4,4,0,87,3,2.9
2,0,43,0,28,0,4.9
34,0,4,0,130,0,4.1
34,9,47,0,327,2,5.4
2,0,2,0,12,0,2.3
28,6,6,0,327,0,1.6
0,0,36,0,22,0,5.5
0,1,0,0,5,0,0.1
1,0,3,0,7,0,4.1
6,2,2,0,26,0,2
4,0,2,0,15,0,2.1
4,0,3,0,5,0,4.1
5,0,3,0,6,0,4.1
5,2,4,0,50,0,1.5
11,0,1,0,42,0,0.8
9,2,2,0,19,0,2.9
3,0,1,0,16,0,4
11,1,0,0,45,0,4.2
2,2,2,0,8,0,2.2
0,0,3,0,13,0,2
13,14,9,1,58,0,5.5
1,1,0,0,73,0,4
0,0,2,0,204,0,4
2,0,1,0,12,0,4
17,3,19,1,207,0,5.6
14,0,1,0,80,0,1.2
14,2,3,0,55,2,2.3
2,0,3,3,6,0,2
2,0,2,0,24,0,2.6
7,6,3,0,53,0,2.3
2,0,1,0,11,0,4
8,0,1,0,46,6,7.3
2,3,2,0,21,0,2.4
1,0,3,0,18,0,4.1
3,0,2,2,19,0,4.9
0,1,0,0,6,0,1.5
4,3,2,0,12,0,2.6
4,0,3,0,14,0,2
174,2,7,1,211,1,5.8
174,3,1,0,96,0,2
174,0,3,3,7,0,2
6,0,1,0,16,0,3.2
3,2,1,0,13,0,2.3
3,2,2,0,11,0,2.1
0,1,0,0,73,0,4
2,0,2,0,232,0,4.1
2,1,0,0,12,0,1.4
0,0,3,0,15,0,2
17,1,1,0,50,0,2.8
1,0,3,3,8,0,2
1,0,3,0,23,0,4.1
6,12,25,1,132,7,4.9
6,0,7,0,41,0,4
2,3,2,0,12,0,2.6
2,0,3,3,9,0,2.2
2,0,0,0,5,0,1.3
6,1,7,0,101,0,2.1
3,0,3,0,38,0,2
16,1,1,0,37,0,3.4
1,0,3,3,32,0,2
6,0,1,1,17,0,6.6
6,0,0,0,12,0,5.2
42,2,5,0,165,0,4.7
42,2,23,0,203,4,4.9
1,0,3,3,9,0,2
8,0,12,0,58,7,4.8
1,0,1,0,10,0,4
6,0,2,2,19,0,4.9
6,0,0,0,6,0,2.7
10,3,11,0,31,0,3
7,0,9,0,88,1,2.1
1,0,3,0,11,0,4.1
9,1,0,0,22,1,3.4
22,0,5,0,63,0,3.3
9,0,6,0,36,0,4.5
12,1,5,1,131,0,3.3
19,1,1,0,22,1,4.5
19,1,1,0,36,0,3.4
19,0,6,0,42,0,2.9
19,0,1,0,6,0,3.6
19,1,15,0,108,2,4.9
56,5,9,0,806,0,2.9
19,4,4,0,67,0,2.6
7,0,5,0,34,0,4.5
7,0,5,0,32,0,4.5
33,1,7,0,240,0,2.4
33,0,2,2,6,0,2.7
33,1,0,0,26,0,3.4
33,2,1,0,25,0,4.9
0,0,0,0,14,0,2.1
0,0,0,0,8,0,2
79,0,2,0,489,0,4.8
7,8,6,0,7,0,4.8
7,0,2,1,13,0,3
7,2,2,0,8,0,2.7
0,0,0,0,6,0,1.4
57,0,2,0,32,0,4.3
57,2,2,1,10,1,3.7
57,15,1,0,475,14,5.9
0,0,0,0,9,0,2
135,38,41,4,1973,0,6.8
4,2,3,0,86,0,1.4
8,6,10,1,68,0,4.7
8,0,3,0,23,0,4.3
4,2,2,0,9,0,1.9
1,0,0,0,5,0,0.8
16,0,1,1,109,0,4
16,1,0,0,25,0,3.4
21,3,17,0,141,0,3.3
9,0,3,0,32,0,3.1
7,0,4,0,15,0,1.8
18,0,1,1,7,0,1.3
18,1,18,14,82,0,2.4
18,0,2,2,24,0,4.9
10,0,5,0,82,0,2.5
10,0,0,0,2,0,0.6
28,0,9,0,274,0,3.9
3,0,5,0,98,0,1.9
0,0,0,0,6,0,1.3
5,6,2,0,57,0,1.7
23,5,19,0,31,0,5.3
23,0,2,0,43,0,2.5
23,0,0,0,7,0,2.7
4,15,24,9,53,0,6.1
21,1,6,2,38,0,5.1
1,0,0,0,7,0,2.7
2,0,6,0,68,0,2.4
1,2,1,0,18,0,1.7
2,0,5,0,30,0,4.1
1,15,24,9,41,0,6.1
1,0,0,0,8,0,2.7
4,0,4,2,21,0,4.1
4,0,0,0,25,0,2.7
32,0,0,0,6,0,1.8
32,0,3,0,107,1,5.2
32,0,6,1,43,0,4.5
32,2,13,3,63,0,8.3
32,1,23,0,80,0,5
8,1,0,0,48,0,3.2
1,0,0,0,10,0,1.9
0,5,5,2,84,0,5.5
