"NII","RFC","CBO","scores_ANN"
10,7,1,4.4
0,7,4,2
74,14,3,3.5
1,1,3,0.1
0,1,4,2
0,0,0,1.6
13,11,3,3.2
0,39,6,4.1
0,6,5,2.6
2,5,1,7.4
13,12,2,3
0,1,0,1
0,2,1,1.7
10,15,4,3.3
1,3,7,1.2
0,1,1,4.2
10,25,17,4.4
17,51,23,3.9
3,2,0,1.6
16,31,7,5.4
0,8,9,4.2
0,7,8,3.1
2,12,8,5.5
196,7,0,3.3
0,0,1,2
0,12,11,1.2
4,11,6,3.5
0,16,1,3.8
7,11,8,3.4
0,1,3,1.7
31,18,6,3.6
1,4,5,2.8
14,13,11,2
0,46,9,4.1
7,9,10,1.4
16,15,16,1
0,2,0,1.7
38,9,2,4.5
2,12,6,4.2
0,2,4,2.4
1,2,2,2
0,3,2,2.2
0,3,5,2
0,9,7,3.2
21,30,4,4.1
2,30,5,7.6
0,7,4,2.8
10,7,3,5.4
21,6,1,4.2
0,121,22,5.8
5,24,8,4.6
5,15,5,2.1
0,2,2,2
0,3,3,2.4
0,3,3,2.3
0,10,7,4.6
0,1,4,1.2
0,4,6,1.2
0,3,0,1.4
1,4,3,1.9
4,11,6,2.5
0,2,4,1.2
0,6,4,2.8
1,3,2,1.9
0,1,3,1.2
0,4,1,2.6
0,7,5,2
1,4,4,3.4
39,25,32,3.3
30,19,6,3.7
1,4,2,4.5
0,4,11,1.9
2,2,3,2.1
2,18,17,3.9
0,4,10,1.9
4,33,29,3.8
37,20,6,3.7
1,6,3,2
1,7,4,2.1
0,5,12,2.3
5,12,1,2.8
5,37,27,3.9
41,26,4,6.4
0,4,4,1.6
0,6,11,1.9
1,40,30,3.8
0,27,17,4.3
0,93,6,5
9,52,41,4
0,1,1,0.2
0,3,10,1.9
1,11,10,3.9
1,6,8,1.4
1,8,11,3.7
3,5,7,1.4
0,14,18,2.3
7,7,5,3.2
2,9,6,1.7
1,3,9,3.9
1,5,4,1.7
2,7,8,1.9
1,7,11,3.9
1,5,3,4
1,11,9,2
5,19,19,3.5
134,182,9,6.6
0,2,0,2.1
0,2,5,2.3
11,6,2,2.1
0,17,5,4.7
0,12,8,5
0,14,10,2
0,2,3,1.6
0,3,6,3.5
1,6,7,1.9
3,6,2,3.3
0,0,1,0.9
15,8,2,2.1
6,34,29,2
3,27,13,4.1
4,22,1,3.6
0,0,0,0.1
0,38,23,3.4
7,19,7,3.4
4,3,1,6.1
2,3,0,4
4,5,1,5
10,9,12,1.2
1,3,2,3.7
1,6,9,1.7
0,3,1,3.7
1,6,8,1.9
1,12,13,1.7
0,34,20,3
11,18,8,3.8
2,5,0,2.4
1,6,5,2.5
2,20,3,3.6
1,1,1,0.1
